Student ID,Profile,HexString,Ethernet MAC,AP Name
6731203003,MFUconnect,f01d.2db6.bbc8,f01d.2d6d.7d98,S7A-FL2-AP0576
56340154,MFUconnect,f01d.2db6.41ec,f01d.2d6d.7e14,M3-FL6-AP0471
59218123,MFUconnect,f01d.2db6.7394,f01d.2d6d.7f20,BS-FL3-AP1394
6532301006,MFUconnect,f01d.2db6.3ee8,f01d.2d6d.84f8,F3-FL4-AP0739
6731006192,MFUconnect,f01d.2db6.4234,f01d.2d6d.85b4,E3A-FL2-AP0477
46360073,MFUconnect,f01d.2db6.5364,f01d.2d6d.866c,D1-FL3-AP0090
6732502070,MFUconnect,f01d.2db6.b730,f01d.2d6d.86fc,EP-FL4-AP1853
,,,f01d.2d6d.8fdc,C1-FL2-AP0315
6631501142,MFUconnect,f01d.2d6d.a224,f01d.2d6d.932c,A1-3-FL1-AP1643
6531205505,MFUconnect,f01d.2db6.442c,f01d.2d6d.94e4,M3-FL1-AP0032
51360005,MFUconnect,f01d.2db6.5008,f01d.2d6d.9578,C4-FL1-AP0381
46211003,MFUconnect_Wi-Fi6,f01d.2db6.7d58,f01d.2d6d.a224,C5-FL3-AP0407
64221169,MFUconnect,f01d.2db6.68a4,f01d.2d6d.a23c,A2-2-FL3-AP1711
6431804169,MFUconnect,f01d.2db6.4624,f01d.2d6d.a56c,F4-FL4-AP0779
6731301091,MFUconnect,f01d.2db6.7638,f01d.2d6d.ac40,AD2-FL3-AP0035
6631006176,MFUconnect,f01d.2db6.375c,f01d.2d6d.c44c,C1-FL2-AP0309
,,,f01d.2d6d.c488,E2-FL2-AP0151
66340055,MFUconnect,f01d.2db6.3db8,f01d.2d6d.c4c4,L6-FL1-AP1112
6731601173,MFUconnect,f01d.2db6.81bc,f01d.2d6d.c60c,S7A-FL1-AP0573
59218129,MFUconnect,f01d.2db6.a830,f01d.2d6d.c658,EP-FL3-AP1845
64340013,MFUconnect,f01d.2db6.78c0,f01d.2d6d.c978,AV-FL2-AP0054
6731601142,MFUconnect,f01d.2db6.9818,f01d.2d6d.c9b8,L7-FL2-AP1179
6531601393,MFUconnect,f01d.2db6.4ffc,f01d.2d6d.cdc0,E2-FL2-AP0158
6432503078,MFUconnect,f01d.2db6.55c8,f01d.2d6d.ce84,L7-FL2-AP1184
6731601402,MFUconnect,f01d.2db6.5f40,f01d.2d6d.cef8,L3-FL3-AP0985
6451704001,MFUconnect,f01d.2db6.57a0,f01d.2d6d.d0b8,F3-FL2-AP0719
6451811004,MFUconnect,f01d.2db6.4c70,f01d.2d6d.d2bc,Sak3-FL1-AP1565
6731210083,MFUconnect,f01d.2db6.c5d0,f01d.2d6d.d5d4,M3-FL6-AP0470
6631804001,MFUconnect,f01d.2db6.a034,f01d.2d6d.d658,MKP-FL4-AP1783
61212038,MFUconnect_Wi-Fi6,f01d.2db6.3fa8,f01d.2d6d.d69c,L2-FL3-AP0932
,,,f01d.2d6d.dbe4,F3-FL3-AP0724
6732403038,MFUconnect,f01d.2db6.3804,f01d.2d6d.ddfc,E4A-FL6-AP0266
6731701001,MFUconnect,f01d.2db6.5ea0,f01d.2d6d.de64,D1-FL2-AP0085
6731503044,MFUconnect,f01d.2db6.a0d4,f01d.2d6d.dff4,Fitness-FL1-AP1935
6731006281,MFUconnect_Wi-Fi6,f01d.2db6.bb08,f01d.2d6d.e0a8,L4-FL3-AP1041
6731203029,MFUconnect,f01d.2db6.970c,f01d.2d6d.e448,L8-FL6-AP1255
6731203227,MFUconnect_Wi-Fi6,f01d.2db6.8e34,f01d.2d6d.e454,L3-FL2-AP0971
6531901055,MFUconnect,f01d.2db6.c0f8,f01d.2d6d.e5c8,L1-FL4-AP0893
6732404040,MFUconnect,f01d.2db6.83ec,f01d.2d6d.e674,L8-FL4-AP1220
66341080,MFUconnect,f01d.2db6.4b10,f01d.2d6d.e730,L8-FL4-AP1232
6631901014,MFUconnect,f01d.2db6.1664,f01d.2d6d.e78c,A2-3-FL3-AP1725
6431701025,MFUconnect,f01d.2db6.48f4,f01d.2d6d.e9c0,F5-FL4-AP0808
,,,f01d.2d6d.eb64,E2-FL3-AP0168
6731006233,MFUconnect,f01d.2db6.2dc4,f01d.2d6d.ee5c,E2-FL2-AP0152
6731601166,MFUconnect_Wi-Fi6,f01d.2db6.8714,f01d.2d6d.eeb8,Sak1-FL2-AP1468
6731207127,MFUconnect_Wi-Fi6,f01d.2db6.9fd4,f01d.2d6d.eec8,E1-FL4-AP0133
56340006,MFUconnect,f01d.2db6.4998,f01d.2d6d.efdc,F3-FL2-AP0721
6431006159,MFUconnect,f01d.2db6.39d8,f01d.2d6d.f0d8,F3-FL1-AP0709
47210049,MFUconnect,f01d.2db6.2114,f01d.2d6d.f18c,E2-FL4-AP0169
6731205016,MFUconnect,f01d.2db6.9790,f01d.2d6d.f1b8,S1-FL3-AP0485
65641038,MFUconnect,f01d.2db6.51f4,f01d.2d6d.f390,Sak2-FL2-AP1528
6731102004,MFUconnect,f01d.2db6.4ac4,f01d.2d6d.fa0c,EP-FL4-AP1857
,,,f01d.2d6d.fffc,A1-2-FL2-AP1634
45340018,MFUconnect,f01d.2db6.71c4,f01d.2db6.0030,A1-2-FL2-AP1630
6632402018,MFUconnect,f01d.2db6.5374,f01d.2db6.0314,A1-2-FL2-AP1627
6732301068,MFUconnect,f01d.2db6.bf94,f01d.2db6.0394,E4A-FL3-AP1821
6731502017,MFUconnect_Wi-Fi6,f01d.2db6.a794,f01d.2db6.0608,A1-4-FL3-AP1688
,,,f01d.2db6.077c,E2-FLG-AP1824
,,,f01d.2db6.07ec,L3-FL3-AP0987
,,,f01d.2db6.0910,L3-FL2-AP0973
6731102006,MFUconnect,f01d.2db6.4ac4,f01d.2db6.0970,Sak3-FL2-AP1577
6731201008,MFUconnect_Wi-Fi6,f01d.2db6.a818,f01d.2db6.098c,L5-FL4-AP1098
6731210040,MFUconnect,f01d.2db6.7cc0,f01d.2db6.0a24,C5-FL2-AP0394
6731501007,MFUconnect,f01d.2db6.a7d4,f01d.2db6.0d10,AV-FL5-AP0069
6731601534,MFUconnect,f01d.2db6.7760,f01d.2db6.0dd4,Sak3-FL3-AP1225
6731202018,MFUconnect,f01d.2db6.8944,f01d.2db6.0eec,E2-FL3-AP0167
6731502017,MFUconnect_Wi-Fi6,f01d.2db6.a794,f01d.2db6.0f18,L1-FL4-AP0895
6731601393,MFUconnect,f01d.2db6.8e34,f01d.2db6.0f60,E4A-FL3-AP0229
6731806023,MFUconnect_Wi-Fi6,f01d.2db6.84c0,f01d.2db6.0f9c,L3-FL4-AP0997
6732502021,MFUconnect,f01d.2db6.a6b8,f01d.2db6.100c,C4-FL1-AP0388
6331209114,MFUconnect,f01d.2db6.a7e4,f01d.2db6.113c,WW-FL5-AP1337
6731601444,MFUconnect,f01d.2db6.8e34,f01d.2db6.1190,L4-FL3-AP1034
6731501065,MFUconnect,f01d.2db6.beb4,f01d.2db6.11e8,E3A-FL4-AP0190
6531205149,MFUconnect,f01d.2db6.4a58,f01d.2db6.1204,E4A-FL4-AP0239
6731601510,MFUconnect_Wi-Fi6,f01d.2db6.81f0,f01d.2db6.12a0,Sak2-FL2-AP1520
6631301050,MFUconnect_Wi-Fi6,f01d.2d6d.a224,f01d.2db6.12c0,WW-FL2-AP1296
,,,f01d.2db6.12f4,L4-FL3-AP1032
6731601005,MFUconnect_Wi-Fi6,f01d.2db6.6748,f01d.2db6.132c,Sak3-FL2-AP1579
6732401002,MFUconnect,f01d.2db6.2920,f01d.2db6.1420,C1-FL3-AP0327
6731301068,MFUconnect,f01d.2db6.4530,f01d.2db6.1428,E4A-FL7-AP0270
6632404038,MFUconnect,f01d.2db6.4968,f01d.2db6.1570,E4A-FL8-AP0285
6631804101,MFUconnect,f01d.2db6.8a4c,f01d.2db6.159c,AS-FL1-AP0039
6531601536,MFUconnect,f01d.2d6d.2674,f01d.2db6.1664,D1-FL1-AP0073
65641037,MFUconnect,f01d.2db6.4720,f01d.2db6.16a0,Sak3-FL1-AP1560
6731207150,MFUconnect_Wi-Fi6,f01d.2db6.a0b8,f01d.2db6.16b4,L2-FL1-AP0912
6632403041,MFUconnect,f01d.2d6d.866c,f01d.2db6.16bc,E4A-FL7-AP0277
,,,f01d.2db6.16f8,D1-FL2-AP0088
,,,f01d.2db6.1770,M3-FL3-AP0441
61440063,MFUconnect,f01d.2db6.3e80,f01d.2db6.17b4,L6-FL4-AP1151
,,,f01d.2db6.17fc,AS-FL1-AP0042
6371105015,MFUconnect,f01d.2db6.3c2c,f01d.2db6.1854,E4A-FL7-AP0271
49318057,MFUconnect,f01d.2db6.4840,f01d.2db6.1898,E4A-FL5-AP0242
6731006130,MFUconnect_Wi-Fi6,f01d.2db6.a124,f01d.2db6.18d0,EP-FL5-AP1865
6731006130,MFUconnect_Wi-Fi6,f01d.2db6.65e0,f01d.2db6.1904,L6-FL1-AP1111
6731201007,MFUconnect,f01d.2db6.4c28,f01d.2db6.1914,AD2-FL3-AP0038
6631901130,MFUconnect_Wi-Fi6,f01d.2db6.2918,f01d.2db6.1960,L7-FL3-AP1167
61441025,MFUconnect,f01d.2db6.485c,f01d.2db6.197c,E4A-FL4-AP0298
66324036,MFUconnect,f01d.2db6.3238,f01d.2db6.1a24,WW-FL4-AP1326
6731006115,MFUconnect,f01d.2db6.a33c,f01d.2db6.1b1c,EP-FL4-AP1852
6731601044,MFUconnect,f01d.2db6.4764,f01d.2db6.1b58,EP-FL4-AP1856
6732502046,MFUconnect_Wi-Fi6,f01d.2db6.8260,f01d.2db6.1b74,E4A-FL4-AP0241
,,,f01d.2db6.1bc8,6999-FL1-AP2013
66371109,MFUconnect_Wi-Fi6,f01d.2db6.0f60,f01d.2db6.1db4,AS-FL1-AP0041
6631901108,MFUconnect,f01d.2db6.2b68,f01d.2db6.1df0,L6-FL2-AP1126
6731804062,MFUconnect,f01d.2db6.7e54,f01d.2db6.1e28,EP-FL5-AP1866
6732301095,MFUconnect,f01d.2db6.b4d8,f01d.2db6.1e68,S2-FL3-AP0507
61418065,MFUconnect,f01d.2db6.3328,f01d.2db6.1ea4,M3-FL4-AP0449
6731901127,MFUconnect,f01d.2db6.59e0,f01d.2db6.1f3c,C5-FL4-AP0421
6731502002,MFUconnect,f01d.2db6.beb4,f01d.2db6.1fdc,L7-FL4-AP1207
,,,f01d.2db6.20d8,EP-FL4-AP1858
61210222,MFUconnect,f01d.2db6.2f54,f01d.2db6.20e4,S3-FL4-AP0543
6731201055,MFUconnect,f01d.2db6.40d4,f01d.2db6.2100,HOS-FL1-AP1816
,,,f01d.2db6.2114,E2-FL4-AP0175
6732404104,MFUconnect,f01d.2db6.3c60,f01d.2db6.2124,S2-FL2-AP0502
6732502011,MFUconnect,f01d.2db6.990c,f01d.2db6.2148,E4A-FL3-AP0228
53340105,MFUconnect,f01d.2db6.6bc0,f01d.2db6.2150,S7B-FL3-AP0606
6732403051,MFUconnect,f01d.2db6.86fc,f01d.2db6.219c,Sak3-FL2-AP1576
6632101013,MFUconnect,f01d.2db6.5118,f01d.2db6.21a8,WW-FL2-AP1292
6632402015,MFUconnect,f01d.2db6.3434,f01d.2db6.21dc,Botanic-FL2-AP1999
6431306113,MFUconnect,f01d.2db6.4c70,f01d.2db6.2210,Sak3-FL1-AP1561
57341210,MFUconnect,f01d.2db6.3fbc,f01d.2db6.223c,MKP-FL1-AP1747
6731601569,MFUconnect,f01d.2db6.b188,f01d.2db6.22d8,INP-FL2-AP1832
6731006036,MFUconnect,f01d.2db6.335c,f01d.2db6.22e8,Sak3-FL3-AP1589
6731808015,MFUconnect,f01d.2db6.58c0,f01d.2db6.2374,HOS-FL2-AP1809
59223045,MFUconnect,f01d.2db6.6d8c,f01d.2db6.2378,L1-FL2-AP0868
,,,f01d.2db6.23ec,Sak3-FL4-AP1345
6532402054,MFUconnect,f01d.2db6.6480,f01d.2db6.2408,L5-FL3-AP1088
6731601111,MFUconnect_Wi-Fi6,f01d.2db6.4b8c,f01d.2db6.240c,S3-FL1-AP0520
6732404102,MFUconnect,f01d.2db6.5620,f01d.2db6.2448,C1-FL1-AP0306
6731501088,MFUconnect,f01d.2db6.c2a4,f01d.2db6.2464,Sak3-FL1-AP1562
6731808036,MFUconnect,f01d.2db6.afc0,f01d.2db6.2490,E4A-FL4-AP0226
6731102017,MFUconnect,f01d.2db6.6db4,f01d.2db6.24bc,L5-FL1-AP1057
6731205032,MFUconnect,f01d.2db6.3804,f01d.2db6.24dc,L8-FL7-AP1275
6731006123,MFUconnect,f01d.2db6.8290,f01d.2db6.24f8,Sak2-FL4-AP1557
51211036,MFUconnect,f01d.2db6.4ad8,f01d.2db6.2510,L2-FL1-AP0902
56340175,MFUconnect,f01d.2db6.47cc,f01d.2db6.253c,L8-FL7-AP1278
6532404052,MFUconnect,f01d.2db6.63c0,f01d.2db6.255c,EP-FL5-AP1860
6631901123,MFUconnect,f01d.2db6.2918,f01d.2db6.2574,A2-2-FL2-AP1710
61441025,MFUconnect,f01d.2db6.335c,f01d.2db6.2588,L7-FL4-AP1210
6731207111,MFUconnect,f01d.2db6.6db4,f01d.2db6.25d0,C4-FL1-AP0385
48340071,MFUconnect,f01d.2db6.47cc,f01d.2db6.2678,C1-FL1-AP0301
6731901094,MFUconnect_Wi-Fi6,f01d.2db6.7448,f01d.2db6.26f8,C1-FL1-AP0303
6731701043,MFUconnect,488b.0af1.4438,f01d.2db6.2708,E4A-FL3-AP0236
,,,f01d.2db6.2720,Sak3-FL1-AP1563
6731112010,MFUconnect,f01d.2db6.7b20,f01d.2db6.2728,E4B-FL5-AP0294
6731207057,MFUconnect,f01d.2db6.b280,f01d.2db6.2748,L6-FL3-AP1140
6731601613,MFUconnect_Wi-Fi6,f01d.2db6.ac40,f01d.2db6.274c,E4A-FL3-AP0230
6731703054,MFUconnect_Wi-Fi6,f01d.2db6.c32c,f01d.2db6.2790,WW-FL3-AP1313
6532502109,MFUconnect,f01d.2db6.54e8,f01d.2db6.2794,EP-FL2-AP1835
6732401064,MFUconnect,f01d.2d6d.e0a8,f01d.2db6.27a4,A2-3-FL2-AP1722
6131205059,MFUconnect,f01d.2db6.2794,f01d.2db6.27d0,EP-FL2-AP1836
6731203190,MFUconnect_Wi-Fi6,f01d.2db6.7d40,f01d.2db6.27d8,E4A-FL8-AP0283
6431701025,MFUconnect,f01d.2db6.48f4,f01d.2db6.2824,Sak1-FL2-AP1466
6631306101,MFUconnect,f01d.2db6.5138,f01d.2db6.282c,E4B-FL5-AP0293
6732301035,MFUconnect_Wi-Fi6,f01d.2db6.65e0,f01d.2db6.283c,Sak2-FL4-AP1558
6732404077,MFUconnect,f01d.2db6.ac40,f01d.2db6.2850,WW-FL4-AP1328
,,,f01d.2db6.2860,L5-FL3-AP1089
,,,f01d.2db6.2884,LP-FL2-AP1897
6431601096,MFUconnect,f01d.2db6.538c,f01d.2db6.28f0,L3-FL4-AP0998
6632301010,MFUconnect,f01d.2db6.3ee8,f01d.2db6.2910,EP-FL5-AP1864
6732502042,MFUconnect,f01d.2db6.a74c,f01d.2db6.2918,M3-FL5-AP0462
49214027,MFUconnect,f01d.2db6.44d4,f01d.2db6.2920,LP-FL1-AP1895
6531006005,MFUconnect,f01d.2db6.310c,f01d.2db6.2928,Sak3-FLG-AP1559
6631301045,MFUconnect,f01d.2db6.543c,f01d.2db6.292c,L5-FL4-AP1097
6732301073,MFUconnect,f01d.2db6.bf94,f01d.2db6.2974,L4-FL3-AP1011
,,,f01d.2db6.297c,A1-3-FL2-AP1654
6431901145,MFUconnect,f01d.2db6.2f64,f01d.2db6.2984,A1-2-FL1-AP1626
6731301008,MFUconnect_Wi-Fi6,f01d.2db6.7570,f01d.2db6.2988,E4A-FL3-AP1822
6731201100,MFUconnect,f01d.2db6.35b8,f01d.2db6.29b0,L3-FL4-AP0996
62218092,MFUconnect,f01d.2db6.3c50,f01d.2db6.29b4,E4B-FL5-AP0295
6171105517,MFUconnect,f01d.2db6.2d50,f01d.2db6.29c0,S1-FL2-AP0481
6071105503,MFUconnect,f01d.2db6.2150,f01d.2db6.29d4,E4A-FL3-AP0232
6171105510,MFUconnect,f01d.2db6.3124,f01d.2db6.29e0,HOS-FL2-AP1812
6171105510,MFUconnect,f01d.2db6.2150,f01d.2db6.29f8,E4A-FL3-AP0237
6431901142,MFUconnect,f01d.2db6.2f64,f01d.2db6.2a14,AD1-FL1-AP0003
6631203186,MFUconnect,488b.0af1.0750,f01d.2db6.2a18,C1-FL1-AP0305
51361146,MFUconnect,f01d.2db6.ba88,f01d.2db6.2a28,L3-FL4-AP0999
6271105502,MFUconnect,f01d.2db6.3f8c,f01d.2db6.2a3c,S1-FL3-AP0482
,,,f01d.2db6.2a58,Pao-FL2-AP1420
6631210074,MFUconnect,f01d.2db6.4130,f01d.2db6.2a60,L5-FL3-AP1095
51211036,MFUconnect,f01d.2db6.4ad8,f01d.2db6.2a6c,L8-FL4-AP1226
6731601413,MFUconnect_Wi-Fi6,f01d.2db6.5f40,f01d.2db6.2a70,Sak1-FL2-AP1470
6531601386,MFUconnect,f01d.2db6.4934,f01d.2db6.2a78,M3-FL4-AP0444
6532301035,MFUconnect,f01d.2db6.5568,f01d.2db6.2aac,S1-FL3-AP0483
6532201019,MFUconnect,f01d.2db6.51c8,f01d.2db6.2adc,A1-1-FL3-AP1615
6732502042,MFUconnect,f01d.2db6.a74c,f01d.2db6.2aec,E4A-FL8-AP0286
6731501118,MFUconnect,f01d.2db6.98c8,f01d.2db6.2b04,L7-FL3-AP1199
6732101010,MFUconnect,f01d.2db6.2720,f01d.2db6.2b14,Sak3-FL2-AP1583
,,,f01d.2db6.2b24,E4A-FL6-AP0265
6731807035,MFUconnect_Wi-Fi6,f01d.2db6.5c98,f01d.2db6.2b4c,HOS-FL2-AP1810
6731601528,MFUconnect,f01d.2db6.6e38,f01d.2db6.2b54,S2-FL4-AP0514
6531601394,MFUconnect,f01d.2db6.8200,f01d.2db6.2b58,E4A-FL8-AP0284
6732301019,MFUconnect,f01d.2db6.6794,f01d.2db6.2b68,Sak3-FL2-AP1578
66640111,MFUconnect,f01d.2db6.21dc,f01d.2db6.2b6c,L5-FL4-AP1096
6731601358,MFUconnect_Wi-Fi6,f01d.2db6.a1e4,f01d.2db6.2b74,L7-FL2-AP1178
6731201108,MFUconnect,f01d.2db6.2860,f01d.2db6.2b88,EP-FL5-AP1862
6731006181,MFUconnect,f01d.2db6.9738,f01d.2db6.2b8c,A2-2-FL2-AP1709
6731901003,MFUconnect_Wi-Fi6,f01d.2db6.a794,f01d.2db6.2b9c,L7-FL3-AP1197
,,,f01d.2db6.2ba0,MKP-FL2-AP1749
6671006001,MFUconnect,f01d.2db6.4438,f01d.2db6.2bcc,Sak3-FL1-AP1564
43211006,MFUconnect,f01d.2db6.a34c,f01d.2db6.2be0,L4-FL3-AP1031
6731006095,MFUconnect,f01d.2db6.8250,f01d.2db6.2be4,S7B-FL3-AP0601
6731205026,MFUconnect,f01d.2db6.51c8,f01d.2db6.2be8,WW-FL5-AP1341
6731210096,MFUconnect,f01d.2db6.33ec,f01d.2db6.2bec,WW-FL4-AP1330
6731901091,MFUconnect,f01d.2db6.3ccc,f01d.2db6.2bfc,C1-FL1-AP0304
6731201014,MFUconnect,f01d.2db6.4fec,f01d.2db6.2c08,A2-2-FL3-AP1712
6632503018,MFUconnect,f01d.2db6.51c8,f01d.2db6.2c0c,A1-3-FL3-AP1664
6732501049,MFUconnect,f01d.2db6.a198,f01d.2db6.2c20,E4A-FL8-AP0287
6731901027,MFUconnect,f01d.2db6.3a78,f01d.2db6.2c60,S1-FL2-AP0480
6731207055,MFUconnect,f01d.2db6.5fb8,f01d.2db6.2c68,E2-FL2-AP0157
,,,f01d.2db6.2c84,WW-FL2-AP1297
6732404002,MFUconnect_Wi-Fi6,f01d.2db6.7c44,f01d.2db6.2c88,PD-FL1-AP2009
6732401038,MFUconnect_Wi-Fi6,f01d.2db6.2e90,f01d.2db6.2ca4,WW-FL2-AP1289
6732404010,MFUconnect_Wi-Fi6,f01d.2db6.4c28,f01d.2db6.2cb4,EP-FL5-AP1863
6731601617,MFUconnect,f01d.2db6.7d90,f01d.2db6.2cd4,WW-FL2-AP1294
6731205004,MFUconnect,f01d.2db6.a608,f01d.2db6.2ce0,L5-FL4-AP1099
6731207159,MFUconnect_Wi-Fi6,f01d.2db6.4174,f01d.2db6.2cf0,A2-2-FL2-AP1708
,,,f01d.2db6.2cf4,Sak3-FL2-AP1584
6731306073,MFUconnect,f01d.2db6.9b94,f01d.2db6.2d14,D1-FL2-AP0082
,,,f01d.2db6.2d20,LP-FL2-AP1896
6731203060,MFUconnect,f01d.2db6.4c60,f01d.2db6.2d30,S1-FL3-AP0484
57640035,MFUconnect_Wi-Fi6,f01d.2db6.80b4,f01d.2db6.2d50,AV-FL4-AP0064
6731601392,MFUconnect_Wi-Fi6,f01d.2db6.6d28,f01d.2db6.2d70,L5-FL3-AP1087
6371501001,MFUconnect_Wi-Fi6,f01d.2db6.40c0,f01d.2db6.2d74,E2-FLG-AP1825
6731601461,MFUconnect,f01d.2db6.9ab8,f01d.2db6.2d80,WW-FL2-AP1291
59218068,MFUconnect,f01d.2db6.3040,f01d.2db6.2dbc,Gym-FL2-AP1911
6631006178,MFUconnect,f01d.2db6.375c,f01d.2db6.2dc0,M3-FL4-AP0443
6632502001,MFUconnect,f01d.2db6.2a78,f01d.2db6.2dc4,D1-FL2-AP0087
